id,lat,lon
BLK 515,1.435074018,103.7898787
BLK 185,1.347153007,103.7451774
BLK 516,1.33062337,103.929853
OPP VARSITY PK,1.293925056,103.7668681
OPP BLK 213,1.349780719,103.7124029
OPP CANBERRA DR,1.446008307,103.8253307
BLK 755,1.348003638,103.7009602
RAFFLES INSTN,1.346147455,103.8465832
OPP RIVER VALLEY HIGH SCH,1.344826172,103.708109
BLK T PANDAN LIGHT IND PK,1.312529511,103.7528746
Opp EASB,1.327506979,103.8459543
BLK 26,1.377132596,103.7554165
OPP SIM HQ,1.328014889,103.776736
ZION BIBLE PRESBY CH,1.347161427,103.8545829
CISCO RECALL,1.326706411,103.7205133
BLK 260,1.35957678,103.841697
OPP ST. THERESA'S HOME,1.345819264,103.8388021
BLK 151,1.336012814,103.9120629
BET BLKS 544/546,1.37830137,103.8926943
AFT VIEW RD,1.451547082,103.7889603
FLAME TREE PK,1.360767189,103.8286638
LAKESIDE STN,1.344235311,103.7200486
YI XIU FTY BLDG,1.31382087,103.8766429
CTRL LIB,1.296543577,103.7724571
AFT TUAS AVE 16,1.318533013,103.6389069
OPP DARUL MAKMUR MQUE,1.436717225,103.8336514
OPP SEMBAWANG SEC SCH,1.4448185,103.8163552
SP SMA,1.309567865,103.7812897
BLK 3014,1.335115503,103.9502388
OPP BLK 106,1.353794259,103.8914457
OPP BLK 137,1.438881768,103.7769692
OPP BLK 713,1.427559546,103.8265556
BEF MANDAI LAKE RD,1.410560577,103.7796102
OPP YEW TEE STN,1.397335799,103.7478259
OPP BLK 171,1.378728402,103.7669669
AFT PIONEER RD,1.328742484,103.6372534
BEF ANG MO KIO AVE 10,1.357167651,103.8542878
AYER RAJAH IND EST,1.297717617,103.7857015
OPP CIVIL DEFENCE ACAD,1.365604522,103.6933289
BLK 875,1.442356547,103.7900829
OPP BLK 66,1.319937724,103.8697604
OPP BLK 217,1.34632614,103.7541804
BLK 241,1.341602235,103.743616
BLK 401,1.35688571,103.9448018
BLK 323B,1.392101934,103.8930848
OPP GLOBAL LOGISTICS CTR,1.329148854,103.9635799
AFT PERPETUAL SUCCOUR CH,1.320765512,103.9180066
OPP BLK 500A,1.377074803,103.9456983
BEF DEFU AVE 2,1.362416542,103.9021344
OPP WEST BAY RESORT CONDO,1.299051368,103.7670453
FABER GDN,1.364054232,103.8282435
BET BLKS 139/140,1.375819497,103.7692665
WATERFRONT ISLE,1.338962349,103.9274145
BEF JLN MARIAM,1.363254414,103.9674644
BLK 146,1.436325682,103.7740623
BT BATOK SWIM CPLX,1.345016748,103.7483617
OPP KHATIB CAMP,1.423606634,103.8302039
ASIATIC AGRICULTURAL IND,1.320011678,103.6722788
NEW TECH PK,1.351031507,103.8618502
OPP EUNOS TECHNOLINK,1.332731889,103.9012002
OPP JURONG ABATTOIR,1.313437836,103.72274
BET BLKS 50/51,1.32033013,103.7375824
OPP BEDOK REFORM TRG CTR,1.340789301,103.9365302
AFT SHIPYARD RD,1.310151073,103.6971019
BLK 834,1.369972136,103.889473
AFT IRRAWADDY RD,1.326487139,103.8441693
Aft Jln Buroh,1.313360332,103.6960141
BLK 356,1.425060849,103.8455624
BLK 217,1.34646114,103.7546118
OPP CP D3,1.305105962,103.9241463
BLK 664C,1.338000829,103.7032794
DUNMAN VIEW,1.309657021,103.8966644
AMK POLICE DIV HQ,1.384238423,103.8444964
