id,lon,lat
Block 108 WOODLANDS ST 13 Singapore,103.7816,1.437185
Block 108 YISHUN RING RD Singapore,103.8291,1.432302
Block 108B MCNAIR RD Singapore,103.859081,1.3202003
Block 108C MCNAIR RD Singapore,103.8594,1.319905
Block 109 ALJUNIED CRES Singapore,103.8844,1.319469
Block 109 ANG MO KIO AVE 4 Singapore,103.8377,1.370181
Block 109 BEDOK NTH RD Singapore,103.9351,1.331858
Block 109 BEDOK RESERVOIR RD Singapore,103.9097997,1.3298069
Block 109 BISHAN ST 12 Singapore,103.8479,1.346761
Block 109 BT BATOK WEST AVE 6 Singapore,103.7462,1.346989
Block 109 BT PURMEI RD Singapore,103.8252941,1.2739482
Block 109 C'WEALTH CRES Singapore,103.7992,1.30734
Block 109 CLEMENTI ST 11 Singapore,103.7706,1.322266
Block 109 GANGSA RD Singapore,103.7678,1.377395
Block 109 HOUGANG AVE 1 Singapore,103.8893,1.355234
Block 109 JLN BT MERAH Singapore,103.826,1.279499
Block 109 JURONG EAST ST 13 Singapore,103.7358,1.338325
Block 109 LENGKONG TIGA Singapore,103.9107286,1.3246615
Block 109 LOR 1 TOA PAYOH Singapore,103.8464,1.341206
Block 109 MCNAIR RD Singapore,103.8591,1.321718
Block 109 PASIR RIS ST 11 Singapore,103.956,1.368388
Block 109 POTONG PASIR AVE 1 Singapore,103.8674998,1.334789
Block 109 RIVERVALE WALK Singapore,103.8996,1.38337
Block 109 SERANGOON NTH AVE 1 Singapore,103.8705,1.36948
Block 109 SIMEI ST 1 Singapore,103.9502,1.34227
Block 109 SPOTTISWOODE PK RD Singapore,103.8367,1.27398
Block 109 TAMPINES ST 11 Singapore,103.9487,1.34742
Block 109 TECK WHYE LANE Singapore,103.7521,1.378678
Block 109 WHAMPOA RD Singapore,103.8554,1.326724
Block 109 WOODLANDS ST 13 Singapore,103.781,1.437408
Block 109 YISHUN RING RD Singapore,103.8285,1.432807
Block 109A DEPOT RD Singapore,103.8095,1.280978
Block 109A EDGEDALE PLAINS Singapore,103.91,1.394543
Block 109B DEPOT RD Singapore,103.8093,1.281052
Block 109B EDGEDALE PLAINS Singapore,103.9099,1.395394
Block 109C EDGEDALE PLAINS Singapore,103.9093,1.395182
Block 109D EDGEDALE PLAINS Singapore,103.9089,1.39551
Block 10A BENDEMEER RD Singapore,103.8605,1.315004
Block 10A BOON TIONG RD Singapore,103.8292,1.286422
Block 10B BEDOK STH AVE 2 Singapore,103.9362,1.322467
Block 10B BOON TIONG RD Singapore,103.8292,1.286502
Block 10B LOR 7 TOA PAYOH Singapore,103.8583,1.337222
Block 10D BEDOK STH AVE 2 Singapore,103.9364,1.32174
Block 10E BEDOK STH AVE 2 Singapore,103.9372,1.32166
Block 10F BEDOK STH AVE 2 Singapore,103.9367,1.322116
Block 11 CANTONMENT CL Singapore,103.8396276,1.2743997
Block 11 CHAI CHEE RD Singapore,103.9248,1.326922
Block 11 EUNOS CRES Singapore,103.9044,1.321851
Block 11 FARRER PK RD Singapore,103.852,1.312312
Block 11 HAIG RD Singapore,103.8966568,1.3147085
Block 11 HOLLAND DR Singapore,103.7941,1.309007
Block 11 JLN BATU Singapore,103.8826,1.301633
Block 11 JLN BT MERAH Singapore,103.8089,1.286687
Block 11 JOO SENG RD Singapore,103.880717,1.3350731
Block 11 LOR 8 TOA PAYOH Singapore,103.8588,1.337225
Block 11 MARSILING DR Singapore,103.778,1.440363
Block 11 PINE CL Singapore,103.8826354,1.3082125
Block 11 ST. GEORGE'S RD Singapore,103.8633,1.323119
Block 11 TECK WHYE LANE Singapore,103.7548,1.379762
Block 11 TOH YI DR Singapore,103.7727,1.338048
Block 11 UPP BOON KENG RD Singapore,103.8709,1.314262
Block 110 ALJUNIED CRES Singapore,103.8844,1.319944
Block 110 ANG MO KIO AVE 4 Singapore,103.8373,1.370477
Block 110 BEDOK NTH RD Singapore,103.9346499,1.332489
Block 110 BEDOK RESERVOIR RD Singapore,103.9103661,1.3301512
Block 110 BISHAN ST 12 Singapore,103.8477,1.347495
Block 110 BT BATOK WEST AVE 6 Singapore,103.7458,1.347577
Block 110 BT PURMEI RD Singapore,103.827,1.273805
Block 110 C'WEALTH CRES Singapore,103.7987,1.306859
Block 110 CLEMENTI ST 13 Singapore,103.7710952,1.3228759
Block 110 GANGSA RD Singapore,103.768,1.378071
Block 110 HOUGANG AVE 1 Singapore,103.8896,1.35472
Block 110 JURONG EAST ST 13 Singapore,103.7365,1.339054
Block 110 LENGKONG TIGA Singapore,103.911,1.323492
Block 110 LOR 1 TOA PAYOH Singapore,103.8464,1.341498
Block 110 MCNAIR RD Singapore,103.8589,1.322104
Block 110 PASIR RIS ST 11 Singapore,103.9563,1.368752
Block 110 RIVERVALE WALK Singapore,103.9003,1.383583
Block 110 SERANGOON NTH AVE 1 Singapore,103.8714,1.369401
Block 110 SIMEI ST 1 Singapore,103.9502,1.342745
Block 110 SPOTTISWOODE PK RD Singapore,103.8364347,1.273668
Block 110 TAMPINES ST 11 Singapore,103.9493,1.346977
Block 110 TECK WHYE LANE Singapore,103.752,1.378239
Block 110 WHAMPOA RD Singapore,103.8558,1.326789
Block 110 WOODLANDS ST 13 Singapore,103.7816,1.437625
Block 110 YISHUN RING RD Singapore,103.8293,1.433662
Block 110A PUNGGOL FIELD Singapore,103.9094,1.39607
Block 110B PUNGGOL FIELD Singapore,103.9097,1.395793
Block 110C PUNGGOL FIELD Singapore,103.9101,1.395482
Block 110D PUNGGOL FIELD Singapore,103.9103,1.395235
Block 111 ALJUNIED CRES Singapore,103.884273,1.3204205
Block 111 ANG MO KIO AVE 4 Singapore,103.8372,1.370876
Block 111 BEDOK NTH RD Singapore,103.9353,1.331599
Block 111 BEDOK RESERVOIR RD Singapore,103.9101,1.329915
Block 111 BISHAN ST 12 Singapore,103.8481,1.347053
Block 111 BT BATOK WEST AVE 6 Singapore,103.746,1.348382
Block 111 BT PURMEI RD Singapore,103.8272941,1.274388
Block 111 C'WEALTH CRES Singapore,103.798488,1.3064207
Block 111 CLEMENTI ST 13 Singapore,103.7712,1.32326
Block 111 EDGEFIELD PLAINS Singapore,103.9068,1.396714
Block 111 GANGSA RD Singapore,103.7684,1.378197
Block 111 HO CHING RD Singapore,103.7233,1.33393
Block 111 HOUGANG AVE 1 Singapore,103.8885,1.354872
Block 111 JURONG EAST ST 13 Singapore,103.735569,1.3387661
Block 111 LENGKONG TIGA Singapore,103.9109,1.324148
Block 111 LOR 1 TOA PAYOH Singapore,103.8456,1.341302
Block 111 LOR 3 GEYLANG Singapore,103.8738,1.311957
Block 111 MCNAIR RD Singapore,103.8583,1.321376
Block 111 PASIR RIS ST 11 Singapore,103.9564,1.368041
Block 111 RIVERVALE WALK Singapore,103.9005,1.384284
Block 111 SERANGOON NTH AVE 1 Singapore,103.8704,1.369101
Block 111 SIMEI ST 1 Singapore,103.9495,1.342347
Block 111 TAMPINES ST 11 Singapore,103.9473,1.346915
Block 111 TECK WHYE LANE Singapore,103.7521,1.377871
Block 111 WHAMPOA RD Singapore,103.8562,1.326569
Block 111 WOODLANDS ST 13 Singapore,103.7821,1.437915
Block 111 YISHUN RING RD Singapore,103.8285,1.433234
Block 111A DEPOT RD Singapore,103.8088407,1.2810247
Block 111B DEPOT RD Singapore,103.8088,1.281025
Block 112 ALJUNIED CRES Singapore,103.8851,1.320382
Block 112 ANG MO KIO AVE 4 Singapore,103.8357,1.371333
Block 112 BEDOK NTH RD Singapore,103.9354,1.331032
Block 112 BEDOK RESERVOIR RD Singapore,103.9104,1.329712
Block 112 BISHAN ST 12 Singapore,103.849,1.346828
Block 112 BT BATOK WEST AVE 6 Singapore,103.7453,1.348313
Block 112 BT PURMEI RD Singapore,103.8259281,1.2745295
Block 112 C'WEALTH CRES Singapore,103.7982,1.306673
Block 112 CLEMENTI ST 13 Singapore,103.77,1.323194
Block 112 EDGEFIELD PLAINS Singapore,103.9071,1.396262
Block 112 HO CHING RD Singapore,103.7237,1.333928
Block 112 HOUGANG AVE 1 Singapore,103.8886,1.354432
Block 112 JURONG EAST ST 13 Singapore,103.735931,1.3392767
Block 112 LENGKONG TIGA Singapore,103.9112703,1.3234731
Block 112 LOR 1 TOA PAYOH Singapore,103.8455,1.341504
Block 112 LOR 3 GEYLANG Singapore,103.8738,1.312151
Block 112 MCNAIR RD Singapore,103.8589904,1.3212252
Block 112 PASIR RIS ST 11 Singapore,103.9561,1.367655
Block 112 PENDING RD Singapore,103.7687,1.378562
Block 112 RIVERVALE WALK Singapore,103.9014,1.383692
Block 112 SERANGOON NTH AVE 1 Singapore,103.8715,1.369176
Block 112 SIMEI ST 1 Singapore,103.9495451,1.3429686
Block 112 TAMPINES ST 11 Singapore,103.9476,1.346237
Block 112 TECK WHYE LANE Singapore,103.7519,1.377506
Block 112 WHAMPOA RD Singapore,103.8568,1.326195
Block 112 WOODLANDS ST 13 Singapore,103.7817,1.43834
Block 112 YISHUN RING RD Singapore,103.8291,1.434176
Block 112A DEPOT RD Singapore,103.808,1.281464
Block 112B DEPOT RD Singapore,103.807681,1.281697
Block 113 ANG MO KIO AVE 4 Singapore,103.836,1.371808
Block 113 BEDOK NTH ST 2 Singapore,103.9352,1.330374
Block 113 BEDOK RESERVOIR RD Singapore,103.9106,1.330589
Block 113 BISHAN ST 12 Singapore,103.8486,1.347269
Block 113 BT BATOK WEST AVE 6 Singapore,103.7452,1.348826
Block 113 BT PURMEI RD Singapore,103.8271,1.274889
Block 113 C'WEALTH CRES Singapore,103.798,1.306844
Block 113 CLEMENTI ST 13 Singapore,103.7702,1.323558
Block 113 DEPOT RD Singapore,103.8072706,1.2814683
Block 113 HOUGANG AVE 1 Singapore,103.8887,1.353553
Block 113 JLN BT MERAH Singapore,103.8258442,1.2805225
Block 113 JURONG EAST ST 13 Singapore,103.7349,1.338843
Block 113 LOR 1 TOA PAYOH Singapore,103.8444964,1.3412898
Block 113 LOR 3 GEYLANG Singapore,103.874,1.311882
Block 113 PASIR RIS ST 11 Singapore,103.9556,1.368097
Block 113 PENDING RD Singapore,103.7694,1.378356
Block 113 POTONG PASIR AVE 1 Singapore,103.863436,1.3362015
Block 113 RIVERVALE WALK Singapore,103.9016,1.384314
Block 113 SERANGOON NTH AVE 1 Singapore,103.8705,1.368766
Block 113 SIMEI ST 1 Singapore,103.9499,1.342857
Block 113 TAMPINES ST 11 Singapore,103.9463,1.346555
Block 113 TAO CHING RD Singapore,103.7243614,1.3336374
Block 113 TECK WHYE LANE Singapore,103.7509,1.377952
Block 113 WHAMPOA RD Singapore,103.8573,1.325937
Block 113 WOODLANDS ST 13 Singapore,103.7813,1.437994
Block 113 YISHUN RING RD Singapore,103.8286,1.434496
Block 113C MCNAIR RD Singapore,103.8599,1.321065
Block 114 ANG MO KIO AVE 4 Singapore,103.836,1.372687
Block 114 BEDOK NTH ST 2 Singapore,103.9359252,1.3305163
